market_cap;circulating_supply;total_supply;max_supply;binanceSymbole
1257980788113;19687731.0;21000000.0;21000000.0;BTCUSDT
367842240582;120072140.228537;120072140.228537;;ETHUSDT
85885621692;153856150.0;153856150.0;200000000.0;BNBUSDT
63733903199;446812609.273557;574282579.333674;;SOLUSDT
33888402300;33912159076.8735;33912714822.9546;;USDCUSDT
28475961864;55129144019.0;99987674482.0;100000000000.0;XRPUSDT
22011712511;143962476383.705;143963536383.705;;DOGEUSDT
16915232597;35301704967.837;45000000000.0;45000000000.0;ADAUSDT
13652187972;589263812437962.1;999982361775279.0;;SHIBUSDT
13292077670;377992341.546175;436681981.624936;720000000.0;AVAXUSDT
9915277273;155232.81826528;155232.81826528;155232.81826528;WBTCUSDT
9653805012;19694062.3966508;21000000.0;21000000.0;BCHUSDT
9600423880;87600903087.8644;87601189556.4796;;TRXUSDT
9171503808;1354572715.70729;1435521848.47101;;DOTUSDT
8395200400;587099971.3083414;1000000000.0;1000000000.0;LINKUSDT
6765126213;462893712.356684;517765668.55536;;ICPUSDT
6369783803;9282943566.203983;10000000000.0;10000000000.0;MATICUSDT
6160380831;74443008.2334713;84000000.0;84000000.0;LTCUSDT
6050826937;1064237108.7101;1183246170.6779;;NEARUSDT
5670354275;753766667.0;1000000000.0;1000000000.0;UNIUSDT
5143664745;5145244744.55554;5145244744.55554;;DAIUSDT
4106706205;425486183.772466;1091910087.71615;;APTUSDT
3890712576;146647600.458885;210700000.0;210700000.0;ETCUSDT
3624791727;1453500713.64621;1818000000.0;1818000000.0;STXUSDT
3588671534;3588766587.24;3588766587.24;;FDUSDUSDT
3363737415;540542259.0;1960580405.0;1960580437.0;FILUSDT
3285012986;28910608020.3858;50001786995.3935;50001786995.3935;XLMUSDT
3253875527;390688369.813272;390930035.085365;;ATOMUSDT
3122079055;384472335.292815;532065943.572815;532065943.572815;RNDRUSDT
3026760273;2653939384.0;10000000000.0;10000000000.0;ARBUSDT
2987244707;72714516834.0;85985041177.0;86712634466.0;VETUSDT
2968652451;1456815249.389814;2000000000.0;2000000000.0;IMXUSDT
2936226559;6624720.0;21000000.0;21000000.0;TAOUSDT
2913265189;35741578541.8462;50000000000.0;50000000000.0;HBARUSDT
2804891496;924717.258541632;977631.036950888;1005577.0;MKRUSDT
2790346389;998926392.0;998926392.0;998926392.0;WIFUSDT
2594138254;9482443926.05219;10788004319.0;10788004319.0;GRTUSDT
2506838776;90042222.33;100000000.0;;INJUSDT
